panel,model,repeat,roc_auc,pr_auc,brier
loo_without_f01,l2_logistic,6,0.642110762800418,0.5414907974448999,0.23862906778655357
loo_without_f01,random_forest,6,0.5862068965517242,0.4697150055329371,0.24221671827592167
loo_without_f01,xgboost,6,0.5544670846394983,0.43216715775094605,0.26720849935343394
loo_without_f02,l2_logistic,6,0.6768547544409613,0.5502628981841011,0.23055681251475107
loo_without_f02,random_forest,6,0.6260013932427726,0.48348117689440834,0.2375400787829399
loo_without_f02,xgboost,6,0.5827673284569838,0.4465218525752738,0.2569915413696936
loo_without_f03,l2_logistic,6,0.6549111807732498,0.5282526232068893,0.23371537072941778
loo_without_f03,random_forest,6,0.5806339254615116,0.4649820173580031,0.2434719077753824
loo_without_f03,xgboost,6,0.5235980494601185,0.41347352997207654,0.28221565823117045
loo_without_f04,l2_logistic,6,0.6698885405781958,0.5435499454658359,0.23598110941090042
loo_without_f04,random_forest,6,0.6213862765586904,0.47913354000222336,0.2366815653345064
loo_without_f04,xgboost,6,0.5637408568443051,0.4415092999484629,0.26242579527269044
loo_without_f05,l2_logistic,6,0.6517763845350052,0.5270422318379169,0.23787141913433746
loo_without_f05,random_forest,6,0.5980494601184257,0.4770667401738582,0.24269937178222045
loo_without_f05,xgboost,6,0.5214646464646464,0.40757753197902336,0.273538108921375
loo_without_f06,l2_logistic,6,0.6313131313131313,0.49686924630622337,0.24125407021117773
loo_without_f06,random_forest,6,0.6029258098223615,0.4672802165411305,0.24033772691712296
loo_without_f06,xgboost,6,0.5500696621386276,0.4293719280186723,0.2755335986154617
loo_without_f07,l2_logistic,6,0.6510797631487286,0.5418336669785733,0.23684357470563466
loo_without_f07,random_forest,6,0.615203761755486,0.47095039053903526,0.23885009518752914
loo_without_f07,xgboost,6,0.56478578892372,0.4378921300317494,0.2667672977909248
loo_without_f01,l2_logistic,7,0.6542145593869731,0.5421590639811374,0.23769285928226322
loo_without_f01,random_forest,7,0.6178160919540231,0.5016619512438472,0.23358056520958556
loo_without_f01,xgboost,7,0.5788052943225357,0.4761720323747009,0.2494858165278565
loo_without_f02,l2_logistic,7,0.6931382793451759,0.5762594453116356,0.2285680311718249
loo_without_f02,random_forest,7,0.6328805294322536,0.5200113817019714,0.2331531829656743
loo_without_f02,xgboost,7,0.6199059561128527,0.49384583725335585,0.2406093910551354
loo_without_f03,l2_logistic,7,0.6775513758272378,0.5683990841016893,0.23232882513848252
loo_without_f03,random_forest,7,0.6101532567049808,0.48222821813204997,0.237381609825611
loo_without_f03,xgboost,7,0.5543364681295715,0.44837940724140546,0.26421862968988835
loo_without_f04,l2_logistic,7,0.6821664925113201,0.5709631647644309,0.22823415165756514
loo_without_f04,random_forest,7,0.6136363636363638,0.4985685687921411,0.2361790097316336
loo_without_f04,xgboost,7,0.5990943921978404,0.4877526751620957,0.2515401879566647
loo_without_f05,l2_logistic,7,0.6654475792406827,0.572095360317298,0.23073686151119796
loo_without_f05,random_forest,7,0.6254789272030651,0.5190252190420482,0.2355618247533333
loo_without_f05,xgboost,7,0.6107628004179728,0.48148610084560006,0.24450403919956282
loo_without_f06,l2_logistic,7,0.6557819575060955,0.5496420594564901,0.23492439431595988
loo_without_f06,random_forest,7,0.6045802856147684,0.4980746830473543,0.23682025339990864
loo_without_f06,xgboost,7,0.599616858237548,0.48197168802794904,0.24582349517192087
loo_without_f07,l2_logistic,7,0.6674503657262278,0.5341854667829432,0.2348731936627139
loo_without_f07,random_forest,7,0.6246952281435041,0.49180795996255966,0.23515734104635408
loo_without_f07,xgboost,7,0.6023162661093695,0.45905547387161016,0.25054502333414036
loo_without_f01,l2_logistic,8,0.6517763845350053,0.5482624117173807,0.23589867454988234
loo_without_f01,random_forest,8,0.6064089167537443,0.5152243233137621,0.2350574048151044
loo_without_f01,xgboost,8,0.6012713340299547,0.49114328231573556,0.2452479043030029
loo_without_f02,l2_logistic,8,0.6812086381051898,0.5827198315552532,0.2263823528250588
loo_without_f02,random_forest,8,0.6365377917102055,0.5421957849752024,0.23173487015176744
loo_without_f02,xgboost,8,0.6374956461163357,0.5268992768685833,0.23481860305290056
loo_without_f03,l2_logistic,8,0.6737199582027168,0.5797532838498562,0.22903701643140922
loo_without_f03,random_forest,8,0.6223441309648207,0.5321160777964346,0.23478989387154453
loo_without_f03,xgboost,8,0.6119818878439568,0.5068892051249997,0.24262289361052017
loo_without_f04,l2_logistic,8,0.6890456287008011,0.5877481409514038,0.2284582229617527
