panel,model,patients,label_0,label_1,roc_auc,pr_auc,brier,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,repeat_auc_mean,repeat_auc_sd,repeat_auc_min,repeat_auc_max
loo_without_f04,random_forest,219,132,87,0.6293103448275861,0.4953005256699693,0.2336662112026809,0.5556540055290952,0.7015396982124688,0.4056484943637696,0.6078668416012035,0.22043095374429683,0.24753984502919968,0.6232932776036225,0.01511418312314114,0.6004876349703936,0.6501219087425985
loo_without_f04,xgboost,219,132,87,0.6183385579937304,0.48488768407088023,0.2413886732180299,0.541252800912188,0.6906294471811715,0.39631784854739094,0.6000257504117597,0.21979203728255126,0.26414630882332957,0.6066222570532915,0.02402215127355112,0.5637408568443051,0.648554510623476
loo_without_f05,l2_logistic,219,132,87,0.6646638801811215,0.5575380785908337,0.23027445124767779,0.5888778080523442,0.7361458928000311,0.45487113176002797,0.668926847003157,0.21389231986463156,0.24700497127041013,0.6546325322187391,0.00972482581969886,0.6401950539881575,0.6721525600835945
loo_without_f05,random_forest,219,132,87,0.612156043190526,0.5074823834500264,0.23725772511500628,0.5342132112526851,0.6858972105016409,0.41001667433601663,0.6209937926167205,0.22404386874023194,0.2513143008687087,0.6058254963427376,0.01642101405574302,0.5792406826889586,0.6289620341344478
loo_without_f05,xgboost,219,132,87,0.5911703239289445,0.47526448365271157,0.2465094139549592,0.5136096163373549,0.6678426779876055,0.38708653680090077,0.5949374037255537,0.2260989883676214,0.26718594522128924,0.585919540229885,0.03158733979970155,0.5214646464646464,0.624085684430512
loo_without_f06,l2_logistic,219,132,87,0.6536920933472656,0.5408580767596884,0.23504856543039324,0.5794921875,0.7243419708942673,0.44283021098068587,0.6479739722897876,0.22448583181550127,0.24543616900891754,0.6438958551027516,0.009695712139591058,0.6313131313131313,0.6619644723092999
loo_without_f06,random_forest,219,132,87,0.6105886450714038,0.48697598463286185,0.236434765717619,0.532552001606419,0.6841539650785713,0.3937577465666111,0.5991537060959602,0.22219968301402712,0.25091525721098246,0.6062608847091605,0.015589905813988104,0.582201323580634,0.6294845001741554
loo_without_f06,xgboost,219,132,87,0.5883838383838385,0.47585978251199545,0.24810356365899924,0.5133415541492683,0.6642911405098176,0.38923139834227893,0.5942327842428516,0.22685911587914023,0.2699519012339618,0.5836293974225008,0.017380775328131506,0.5500696621386276,0.6035353535353536
loo_without_f07,l2_logistic,219,132,87,0.6551724137931034,0.5349606047919366,0.23496200887837337,0.5820931044126613,0.7268188109962158,0.44091324725272923,0.6503217198810606,0.22246015074150668,0.24709573214726857,0.6469958202716823,0.0175904778998774,0.6125043538836643,0.6729362591431557
loo_without_f07,random_forest,219,132,87,0.6302681992337165,0.49299458954536346,0.23338508028984475,0.5517583787815687,0.7028725285330127,0.3984362005619556,0.606275775609393,0.21871870826678172,0.24893782191264174,0.6251567398119122,0.014658106615225134,0.6067572274468827,0.6536050156739812
loo_without_f07,xgboost,219,132,87,0.6138975966562173,0.46986309554801825,0.2424875069950639,0.5372578632967611,0.6877050192796113,0.386608712417218,0.5826646940938516,0.22133663874669487,0.2648322585452617,0.6069400905607802,0.02163153243696011,0.56478578892372,0.6436781609195402
