repeat,fold,feature_set,model,best_inner_auc,best_params
3,1,prior_core,xgboost,0.5147163566281213,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
3,1,prior_core,lightgbm,0.5123910675381265,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
3,1,prior_core,random_forest,0.5557021954080777,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
3,1,prior_plus_locked7,xgboost,0.5493862074744428,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
3,1,prior_plus_locked7,lightgbm,0.5414362326127031,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
3,1,prior_plus_locked7,random_forest,0.5952949555890732,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
3,2,prior_core,xgboost,0.5307105748282219,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
3,2,prior_core,lightgbm,0.5309619574325457,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
3,2,prior_core,random_forest,0.5600699681582035,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
3,2,prior_plus_locked7,xgboost,0.578661806602983,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
3,2,prior_plus_locked7,lightgbm,0.5600280710574829,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
3,2,prior_plus_locked7,random_forest,0.5966356628121334,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
3,3,prior_core,xgboost,0.39561337355455006,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
3,3,prior_core,lightgbm,0.3829395005865594,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
3,3,prior_core,random_forest,0.4162267471091,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
3,3,prior_plus_locked7,xgboost,0.5015501927266633,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
