cohort,feature_set,model,repeat_index,roc_auc,pr_auc,brier,balanced_accuracy_at_0_5
age_bmi_n130,clinical,elasticnet_logistic,1,0.5018615040953089,0.4238012308292469,0.25054463771480273,0.4811367585008687
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,1,0.607843137254902,0.4838829839316393,0.23927949626024062,0.5852568875651527
age_bmi_n130,combined,elasticnet_logistic,1,0.6214941672871681,0.48500605543599906,0.24044637201455157,0.5824025812856788
age_bmi_n130,clinical,elasticnet_logistic,2,0.49069247952345496,0.39693116080088225,0.24988268254430596,0.4798957557706627
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,2,0.6783320923306031,0.5733945217814159,0.22823305073426212,0.5991561181434599
age_bmi_n130,combined,elasticnet_logistic,2,0.6706378754033259,0.5536881407800471,0.2309023005947802,0.599776619508563
age_bmi_n130,clinical,elasticnet_logistic,3,0.44117647058823534,0.37473532002759624,0.2594626845895481,0.43881856540084385
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,3,0.6450732191610821,0.5351546392344825,0.2323335285863049,0.5668900471581038
age_bmi_n130,combined,elasticnet_logistic,3,0.6406056093323406,0.5313466440871557,0.2327454093627934,0.5738396624472574
age_bmi_n130,clinical,elasticnet_logistic,4,0.4668652271034996,0.3777198074844924,0.2513907918567647,0.48399106478034254
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,4,0.655994043186895,0.5242779532402114,0.23041479984865604,0.6083395383469844
age_bmi_n130,combined,elasticnet_logistic,4,0.6626954579300074,0.5340901653091789,0.2294495726294557,0.6118143459915611
age_bmi_n130,clinical,elasticnet_logistic,5,0.4717051377513031,0.39632296694039354,0.25179311926574166,0.4651278232812112
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,5,0.6495408289898239,0.5287564481408082,0.23716480143784718,0.650409530900968
age_bmi_n130,combined,elasticnet_logistic,5,0.6507818317200298,0.5317546902971835,0.2356760615895205,0.6440804169769174
age_bmi_n130,clinical,elasticnet_logistic,6,0.41437081161578554,0.36125497994446637,0.25701963461893057,0.4298833457433606
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,6,0.6232315711094565,0.4594489877413098,0.24617202441934596,0.630801687763713
age_bmi_n130,combined,elasticnet_logistic,6,0.6135517498138496,0.444599134704354,0.2526797755667087,0.614668652271035
age_bmi_n130,clinical,elasticnet_logistic,7,0.46971953338297345,0.39155391718402194,0.2515752070362548,0.5070737155621743
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,7,0.6862745098039216,0.5734134150842498,0.22930306476730106,0.6187639612807148
